繁體	简体	吴拼	原书转写吴拼	页码
呆大佬	呆大佬	nge dou lau	nge dou lau	156
呆忖忖	呆忖忖	nge tshen tshen	nge tshen tshen	156
呆忳忳	呆忳忳	nge ten ten	nge ten ten	156
呆性性	呆性性	nge shin shin	nge shin shin	156
呆剝剝	呆剥剥	nge poq poq	nge poq poq	156
呆大兒子	呆大儿子	nge dou ng tsy	nge dou ng tsy	156
呆大括氣	呆大括气	nge dou kuaq chi	nge dou kuaq chi	156
呆的剝落	呆的剥落	nge tiq poq loq	nge tiq poq loq	156
呆臉呆得	呆脸呆得	nge li nge taq	nge li nge taq	156
𠯗	𠯗	tsaq7	tsaq7	156
嘔	呕	eu1	eu1	156
園的鈴	园的铃	yu tiq lin	yu tiq lin	156
圍身布襴	围身布襕	yu shin pu lae	yu shin pu lae	156
足	足	tsoq7	tsoq7	157
足輸贏	足输赢	tsoq syu yin	tsoq syu yin	157
男人家	男人家	nei gnin ko	nei gnin ko	157
吵朋	吵朋	tshau ban	tshau ban	157
吵棚	吵棚	tshau ban	tshau ban	157
吵房	吵房	tshau vaon	tshau vaon	157
吵客	吵客	tshau khaq	tshau khaq	157
吵朋烏龜	吵朋乌龟	tshau ban u ciu	tshau ban u ciu	157
𫩙	𫩙	guae2	guae2	157
吶	呐	naq8	naq8	157
吶	呐	na2	na2	157
聽	听	thin1	thin1	158
聽頭	听头	thin deu	thin deu	158
聽張	听张	thin cian	thin cian	158
聽明	听明	thin min	thin min	158
聽明	听明	thiq min	thiq min	158
聽頭貨	听头货	thin deu hou	thin deu hou	158
嗆	呛	chian5	chian5	158
嗆	呛	chian1	chian1	158
嗆氣	呛气	chian chi	chian chi	158
嗆潑	呛泼	chian phaq	chian phaq	158
吹行	吹行	tshyu ghaon	tshyu ghaon	158
吹吹泡	吹吹泡	tshyu tshyu phau	tshyu tshyu phau	158
吚哩嗚嚕	吚哩呜噜	i li u lu	i li u lu	158
吼	吼	heu3	heu3	159
吼勢	吼势	heu syu	heu syu	159
別十	别十	biq zyuq	biq zoq	159
別采	别采	biq tshe	biq tshe	159
別於采	别於采	biq u tshe	biq u tshe	159
別於黨	别於党	biq u thaon	biq u thaon	159
別於頭	别於头	biq u deu	biq u deu	159
別於態	别於态	biq u the	biq u the	159
別樣	别样	biq yan	biq yan	159
別樣	别样	biq gnian	biq gnian	159
別樣告	别样告	biq yan kau	biq yan kau	159
別樣告	别样告	biq gnian kau	biq gnian kau	159
別苗頭	别苗头	biq miau deu	biq miau deu	159
囥	囥	khaon5	khaon5	159
帳子㫰竿	帐子㫰竿	cian tsy laon ki	cian tsy laon ki	159
財百萬	财百万	dze paq vae	dze paq vae	159
貤	貤	yi6	yi6	159
告	告	kau5	kau5	160
我儂	我侬	ngo nou	ngo nou	160
我儂	我侬	ngoq nou	ngoq nou	160
我儂	我侬	ngo lou	ngo lou	160
我儂	我侬	ngoq lou	ngoq lou	160
亂話	乱话	loe wo	loe wo	160
亂夢	乱梦	loe maon	loe maon	160
亂話三千	乱话三千	loe wo sae chi	loe wo sae chi	160
亂話到底	乱话到底	loe wo tau ti	loe wo tau ti	160
亂話到地	乱话到地	loe wo tau di	loe wo tau di	160
亂話大三千	乱话大三千	loe wo dou sae chi	loe wo dou sae chi	160
亂夢地裏	乱梦地里	loe maon di li	loe maon di li	160
利市	利市	li zy	li zy	160
利市頭	利市头	li zy deu	li zy deu	160
利鈿	利钿	li di	li di	160
利朗	利朗	li laon	li laon	160
私章	私章	sy tsaon	sy tsaon	160
嶴	岙	au1	au1	161
嶴口	岙口	au kheu	au kheu	161
嶴裏	岙里	au li	au li	161
嶴底	岙底	au ti	au ti	161
每遭	每遭	mei tsau	mei tsau	161
𠇱㒓頭	𠇱𠉂头	maq thaq deu	maq thaq deu	161
體托	体托	thi thoq	thi thoq	161
體忲	体忲	thi tha	thi tha	161
體忲婆	体忲婆	thi tha bou	thi tha bou	161
體忲阿姆	体忲阿姆	thi tha a m	thi tha a m	161
體裏忲剌	体里忲剌	thi li tha la	thi li tha la	161
但便	但便	dae bi	dae bi	161
但明	但明	dae min	dae min	161
伸	伸	shin1	shin1	162
伸懶仗	伸懒仗	shin lae jian	shin lae jian	162
作	作	tsoq7	tsoq7	162
作頭	作头	tsoq deu	tsoq deu	162
作興	作兴	tsoq shin	tsoq shin	162
作講	作讲	tsoq kaon	tsoq kaon	162
作吵	作吵	tsoq tshau	tsoq tshau	162
作嬌	作娇	tsoq ciau	tsoq ciau	162
作漿	作浆	tsoq cian	tsoq cian	163
作準	作准	tsoq tsyun	tsoq tsyun	163
作梗	作梗	tsoq kan	tsoq kan	163
作啥	作啥	tsoq sou	tsoq sou	163
伯伯	伯伯	paq pan	paq pan	163
伯嚭	伯嚭	paq phi	paq phi	163
低頭	低头	ti deu	ti deu	163
低微	低微	ti bi	ti bi	163
住	住	dzyu2	dzyu6	163
伴手果	伴手果	bun shieu kou	boe shieu kou	163
身關	身关	shin kuae	shin kuae	163
身條	身条	shin diau	shin diau	164
身架	身架	shin ko	shin ko	164
近橫	近横	jin wan	jin wan	164
近𥉻眼	近𥉻眼	jin chi ngae	jin chi ngae	164
近覷眼	近觑眼	jin tshyu ngae	jin tshyu ngae	164
近手弗來	近手弗来	jin shieu vaq le	jin shieu faq le	164
希吼	希吼	shi heu	shi heu	164
希索	希索	shi soq	shi soq	164
坐	坐	zou4	zou6	164
坐車	坐车	zou tsho	zou tsho	164
坐車	坐车	zou tshoe	zou tshoe	164
坐夜	坐夜	zou ya	zou ya	165
坐桶	坐桶	zou don	zou don	165
坐板瘡	坐板疮	zou pae tshaon	zou pae tshaon	165
坐待筵	坐待筵	zou de yi	zou de yi	165
坐起間	坐起间	zou chi kae	zou chi kae	165
坐堂間	坐堂间	zou daon kae	zou daon kae	165
穀蜢	谷蜢	koq man	koq man	165
穀眼子	谷眼子	koq ngae tsy	koq ngae tsy	165
穀眼子	谷眼子	koq ngae tsyu	koq ngae tsyu	165
穀眼烏珠	谷眼乌珠	koq ngae u tsyu	koq ngae u tsyu	165
穀籮頭	谷箩头	koq lou deu	koq lou deu	165
穀蝴蝶	谷蝴蝶	koq wu diaq	koq wu diq	165
含胡桃	含胡桃	ghei wu dau	ghei wu dau	165
鄰舍	邻舍	lin so	lin so	165
鄰舍家	邻舍家	lin so ko	lin so ko	165
鄰舍隔壁	邻舍隔壁	lin so kaq piq	lin so kaq piq	165
岔翁	岔翁	tsho on	tsho on	166
岔蕻	岔蕻	tsho hon	tsho hon	166
肚才	肚才	du dze	du dze	166
肚子	肚子	tu tsy	tu tsy	166
肚仙	肚仙	du shi	du shi	166
肚仙婆	肚仙婆	du shi bou	du shi bou	166
肚飢	肚饥	du ci	du ci	166
肚皮	肚皮	du bi	du bi	166
肚皮	肚皮	dou bi	dou bi	166
肚腸	肚肠	du jian	du jian	166
肚檔	肚档	du taon	du taon	166
肚兜	肚兜	du teu	du teu	167
肚下白	肚下白	du gho baq	du gho baq	167
肚皮撒	肚皮撒	du bi dza	du bi dza	167
肚裏貨	肚里货	du li hou	du li hou	167
角子	角子	koq tsy	koq tsy	167
角票	角票	koq phiau	koq phiau	167
角麂	角麂	koq ci	koq ci	167
角落頭	角落头	koq loq deu	koq loq deu	167
角落頭	角落头	koq loq dei	koq loq dei	167
條子	条子	diau tsy	diau tsy	167
條肉	条肉	diau gnioq	diau gnioq	167
卵子	卵子	loe tsy	loe tsy	167
卵毛	卵毛	loe mau	loe mau	168
卵漿	卵浆	loe cian	loe cian	168
卵袋	卵袋	loe de	loe de	168
卵脬	卵脬	loe phau	loe phau	168
卵𪏙	卵𪏙	loe uaon	loe uaon	168
卵袋𪏙	卵袋𪏙	loe de uaon	loe de uaon	168
刨	刨	bau2	bau2	168
飯	饭	vae6	vae6	168
飯瓜	饭瓜	vae kuo	vae kuo	168
飯包	饭包	vae pau	vae pau	168
飯傘	饭伞	vae sae	vae sae	168
飯盂	饭盂	vae yu	vae yu	169
獅子飯盂	狮子饭盂	sy tsy vae yu	sy tsy vae yu	169
飯單	饭单	vae tae	vae tae	169
飯格	饭格	vae kaq	vae kaq	169
飯格子	饭格子	vae kaq tsy	vae kaq tsy	169
飯蒸	饭蒸	vae cin	vae cin	169
飯𣖄	飯𣖄	vae chiau	vae chiau	169
飯窠	饭窠	vae khou	vae khou	169
飯窠籮	饭窠箩	vae khou lou	vae khou lou	169
飯鑊	饭镬	vae ghoq	vae ghoq	169
飯黏	饭黏	vae kni	vae kni	169
飯糝	饭糁	vae sei	vae sei	169
飯黏糝	饭黏糁	vae kni sei	vae kni sei	169
飯瓜籽	饭瓜籽	vae kuo tsy	vae kuo tsy	169
飯頭腦	饭头脑	vae deu nau	vae deu nau	169
飯師父	饭师父	vae sy vu	vae sy vu	170
飯𣖄骨	飯𣖄骨	vae chiau kuaq	vae chiau kuaq	170
飯䈾箕	饭䈾箕	vae sau ci	vae sau ci	170
飯䈾箕籃	饭䈾箕篮	vae sau ci lae	vae sau ci lae	170
飯鑊飲湯	饭镬饮汤	vae ghoq in thaon	vae ghoq in thaon	170
飯鑊頭蒼蠅	饭镬头苍蝇	vae ghoq deu tshaon in	vae ghoq deu tshaon in	170
飯烏龜	饭乌龟	vae u ciu	vae u ciu	170
飲	饮	in3	in3	170
凍進	冻进	ton cin	ton cin	170
凍掉	冻掉	ton diau	ton diau	170
凍瘃	冻瘃	ton tsoq	ton tsoq	170
凍米胖	冻米胖	ton mi phaon	ton mi phaon	170
凍米大胖	冻米大胖	ton mi da phaon	ton mi da phaon	170
凍米大王	冻米大王	ton mi da waon	ton mi da waon	170
凍米糖	冻米糖	ton mi daon	ton mi daon	170
亨棚冷	亨棚冷	han ban lan	han ban lan	171
亨棚冷	亨棚冷	han baq lan	han baq lan	171
亨棚冷打	亨棚冷打	han ban lan tan	han ban lan tan	171
牀桯	床桯	zaon thin	zaon thin	171
庉	庉	den2	den2	171
庉門	庉门	den men	den men	171
庉頃	庉顷	den chian	den chian	171
庉晌	庉晌	den zaon	den zaon	171
庉點	庉点	den ti	den ti	171
庉一晌	庉一晌	den iq zaon	den iq zaon	171
庎棚	庎棚	ka ban	ka ban	171
庎櫥	庎橱	ka dzyu	ka dzyu	171
應許	应许	in hei	in hei	172
應嘴	应嘴	in tsyu	in tsyu	172
冷	冷	lan4	lan6	172
冷陰	冷阴	lan in	lan in	172
冷呃	冷呃	lan aq	lan aq	172
冷盆	冷盆	lan ben	lan ben	172
冷靜	冷静	lan zhin	lan zhin	172
冷天家	冷天家	lan thi ko	lan thi ko	172
冷氣肉	冷气肉	lan chi gnioq	lan chi gnioq	172
冷飯頭	冷饭头	lan vae deu	lan vae deu	172
冷飯頭	冷饭头	lan vae dei	lan vae dei	172
冷飯塊	冷饭块	lan vae khuei	lan vae khuei	172
冷飯娘	冷饭娘	lan vae gnian	lan vae gnian	172
冷飯得	冷饭得	lan vae taq	lan vae taq	173
冷凍凍	冷冻冻	lan ton ton	lan ton ton	173
冷括括	冷括括	lan kuaq kuaq	lan kuaq kuaq	173
冷勢勢	冷势势	lan syu syu	lan syu syu	173
冷幽幽	冷幽幽	lan ieu ieu	lan ieu ieu	173
冷清清	冷清清	lan chin chin	lan chin chin	173
冷熱病	冷热病	lan gniq bin	lan gniq bin	173
冷𪞫𪞫	冷𪞫𪞫	lan seu seu	lan seu seu	173
冷灰豆爆	冷灰豆爆	lan huei deu pau	lan huei deu pau	173
閒日	闲日	ghae gniq	ghae gniq	173
閒早	闲早	ghae tsau	ghae tsau	173
閒早子	闲早子	ghae tsau tsy	ghae tsau tsy	173
閒賬	闲账	ghae cian	ghae cian	173
閒話	闲话	ghae wo	ghae wo	174
閒食	闲食	ghae zhiq	ghae zhiq	174
碎食	碎食	sei zhiq	sei zhiq	174
閒兩遭	闲两遭	ghae lian tsau	ghae lian tsau	174
閒時不節	闲时不节	ghae zy paq ciq	ghae zy paq ciq	174
間日	间日	kae gniq	kae gniq	174
間架	间架	kae ko	kae ko	174
悶飽	闷饱	mhen pau	mhen pau	174
悶炦炦	闷炦炦	mhen baq baq	mhen baq baq	174
悶氣烔烔	闷气烔烔	mhen chi don don	mhen chi don don	174
悶聲弗響	闷声弗响	mhen shin vaq shian	mhen shin faq shian	174
悶桶弗響	闷桶弗响	mhen don vaq shian	mhen don faq shian	174
兌糖	兑糖	dei daon	dei daon	175
兌糖貨郎	兑糖货郎	dei daon hou laon	dei daon hou laon	175
兌糖貨郎	兑糖货郎	dei daon hou loe	dei daon hou loe	175
竈臺	灶台	tsau de	tsau de	175
竈間	灶间	tsau kae	tsau kae	175
竈囪	灶囱	tsau tshon	tsau tshon	175
竈雞	灶鸡	tsau ci	tsau ci	175
竈跟	灶跟	tsau ken	tsau ken	175
竈披間	灶披间	tsau phi kae	tsau phi kae	175
竈屋洞	灶屋洞	tsau oq don	tsau oq don	175
竈口地㝩	灶口地㝩	tsau kheu di khaon	tsau kheu di khaon	175
竈前地㝩	灶前地㝩	tsau zhi di khaon	tsau zhi di khaon	175
竈跟無賴	灶跟无赖	tsau ken vu la	tsau ken wu la	176
竈跟無賴	灶跟无赖	tsau ken wu la	tsau ken wu la	176
竈跟菩薩	灶跟菩萨	tsau ken bu saq	tsau ken bu saq	176
灼辣辣	灼辣辣	ciq laq laq	ciq laq laq	176
煬	炀	yan6	yan6	176
煬勩	炀勚	yan yi	yan yi	176
沙	沙	so1	so1	176
沙頭	沙头	so deu	so deu	176
沙灰	沙灰	so huei	so huei	176
沙泥	沙泥	so gni	so gni	176
沙鍋	沙锅	so kou	so kou	176
沙䥛	沙䥛	so ci	so ci	177
沙蟹	沙蟹	so ha	so ha	177
沙胡嚨	沙胡咙	so u lon	so u lon	177
沙胡嚨	沙胡咙	so wu lon	so wu lon	177
汭	汭	nei6	nei6	177
汽車路	汽车路	chi tsho lu	chi tsho lu	177
沒	没	maq8	maq8	177
沒嘴沒得	没嘴没得	maq tsyu maq taq	maq tsyu maq taq	177
忮	忮	ji4	ji6	177
忮頓頓	忮顿顿	ji ten ten	ji ten ten	177
惀	𰑄	len2	len2	178
惀帶	𰑄带	len ta	len ta	178
快活	快活	khua waq	khua waq	178
快活	快活	khua wo	khua wo	178
快口藥	快口药	khua kheu yaq	khua kheu yiq	178
快活人	快活人	khua waq gnin	khua waq gnin	178
宊	宊	thaq7	thaq7	178
牢監	牢监	lau kae	lau kae	178
牢監犯	牢监犯	lau kae vae	lau kae vae	178
良士	良士	lan zy	lian zy	178
良士嬸	良士婶	lan zy shin	lian zy shin	178
諓	諓	dzoe2	dzoe2	179
詀	𧮪	tshoe1	tshoe5	179
𧮪風調	𧮪风调	tshoe fon diau	tshoe fon diau	179
補	补	pu3	pu3	179
初外	初外	tshu nga	tshu nga	179
初頭	初头	tshu deu	tshu deu	179
社	社	dzo4	dzo6	179
社會禮拜	社会礼拜	dzo wei li pa	dzo wei li pa	179
識相	识相	shiq shian	shiq shian	179
詏	𬣦	au3	au3	179
靈	灵	lin2	lin2	180
靈性	灵性	lin shin	lin shin	180
靈清	灵清	lin chin	lin chin	180
層	层	zen2	zen2	180
屁輕	屁轻	phi chin	phi chin	180
屁得斯輕	屁得斯轻	phi taq sy chin	phi taq sy chin	180
屁得爛輕	屁得烂轻	phi taq lae chin	phi taq lae chin	180
屁得爛屙輕	屁得烂屙轻	phi taq lae ou chin	phi taq lae ou chin	180
屁眼	屁眼	phi ngae	phi ngae	180
屁眼洞	屁眼洞	phi ngae don	phi ngae don	180
尿瓶	尿瓶	syu bin	syu bin	180
尿撒	尿撒	syu dza	syu dza	181
尿衲布	尿衲布	syu naq pu	syu naq pu	181
尿臊臭	尿臊臭	syu sau chieu	syu sau chieu	181
尾巴骨	尾巴骨	mi po kuaq	mi po kuaq	181
遲了百遲	迟了百迟	ji liau paq ji	ji liau paq ji	181
遲了百遲	迟了百迟	ji liau baq ji	ji liau baq ji	181
局	局	jiuq8	jiuq8	181
局頭	局头	jiuq deu	jiuq deu	181
局氣	局气	jiuq chi	jiuq chi	181
局房	局房	jiuq vaon	jiuq vaon	181
𨑩	𨑩	taq7	taq7	181
𨑩	𨑩	tiq7	tiq7	181
張	张	cian1	cian1	181
張貓	张猫	cian mhau	cian mhau	181
阿	阿	aq7	aq7	182
阿大	阿大	aq dou	aq dou	182
大先生	大先生	dou shi san	dou shi san	182
阿公	阿公	aq kon	aq kon	182
阿囡	阿囡	aq noe	aq noe	182
阿爺	阿爷	aq ya	aq ya	182
阿講	阿讲	aq kaon	aq kaon	182
阿講	阿讲	oq kaon	oq kaon	182
阿防	阿防	aq baon	aq baon	182
阿防	阿防	aq bo	aq bo	182
阿裏	阿里	aq li	aq li	182
阿裏	阿里	aq yi	aq yi	182
阿伯	阿伯	aq paq	aq paq	182
阿拉	阿拉	aq laq	aq laq	183
阿叔	阿叔	aq son	aq son	183
阿爸	阿爸	aq paq	aq paq	183
阿爹	阿爹	aq tia	aq tia	183
阿姑	阿姑	aq ku	aq ku	183
阿姆	阿姆	a m	a m	183
阿姆	阿姆	an m	an m	183
阿孃	阿娘	aq gnian	aq gnian	183
阿啥	阿啥	aq sou	aq sou	183
阿婆	阿婆	aq bou	aq bou	184
阿嬸	阿婶	aq shin	aq shin	184
阿督	阿督	aq toq	aq toq	184
阿舅	阿舅	aq jieu	aq jieu	184
阿橫	阿横	aq wan	aq wan	184
阿木人	阿木人	aq moq gnin	aq moq gnin	184
阿木林	阿木林	aq moq lin	aq moq lin	184
阿壽哥	阿寿哥	aq zhieu kou	aq zhieu kou	184
勁道	劲道	jin dau	jin dau	184
雞娘	鸡娘	ci gnian	ci gnian	184
雞爪風	鸡爪风	ci tsau fon	ci tsau fon	184
雞毛撣帚	鸡毛掸帚	ci mau tae cieu	ci mau tae cieu	185
雞毛刷帚	鸡毛刷帚	ci mau syuq cieu	ci mau soq cieu	186
純	纯	zyun2	zyun2	185
純光	纯光	zyun kuaon	zyun kuaon	185
純做	纯做	zyun tsou	zyun tsou	185
純只	纯只	zyun ciq	zyun ciq	185
純米飯	纯米饭	zyun mi vae	zyun mi vae	185
紗	纱	so1	so1	185
縱	纵	tson5	tson5	185
紙窗	纸窗	tsy tshaon	tsy tshaon	185
紙糊頭	纸糊头	tsy wu deu	tsy wu deu	185
環	环	guae2	guae2	185
環頭	环头	guaq deu	guaq deu	186
環眼	环眼	guae ngae	guae ngae	186
環襻頭	环襻头	guae phae deu	guae phae deu	186
環頭環腦	环头环脑	guae deu guae nau	guae deu guae nau	186
武耍耍	武耍耍	wu sa sa	wu sa sa	186
青	青	chin1	chin1	186
青衣	青衣	chin i	chin i	186
青條	青条	chin diau	chin diau	186
青沙	青沙	chin so	chin so	187
青果	青果	chin kou	chin kou	187
青腫	青肿	chin tson	chin tson	187
青⿰米鬼	青⿰米夬	chin khuei	chin khuei	187
青蟹	青蟹	chin ha	chin ha	187
青大頭	青大头	chin dou deu	chin dou deu	187
青大頭	青大头	chin dou dei	chin dou dei	187
青大腫	青大肿	chin dou tson	chin dou tson	187
青沙氣	青沙气	chin so chi	chin so chi	187
青盲瞎	青盲瞎	chin man haq	chin man haq	187
青㿮㿮	青㿮㿮	chin an an	chin an an	187
青鱄魚	青𫚋鱼	chin tsoe ng	chin tsoe ng	187
現	现	yi6	yi6	188
現升	现升	yi shin	yi shin	188
表面	表面	piau mi	piau mi	188
表袋	表袋	piau de	piau de	188
抲	抲	kho5	kho5	188
抲水	抲水	kho syu	kho syu	188
抲跌	抲跌	kho tiq	kho tiq	188
抲人車	抲人车	kho gnin tsho	kho gnin tsho	188
抲白郎	抲白郎	kho baq laon	kho baq laon	188
抲眉毛蟲	抲眉毛虫	kho mi mau dzon	kho mi mau dzon	188
抲捼倒跌	抲捼倒跌	kho ou tau tiq	kho ou tau tiq	188
坯	坯	phei1	phei1	189
坯子	坯子	phei tsy	phei tsy	189
拓	拓	thoq7	thoq7	189
坺	坺	baq8	baq8	189
拔	拔	baq8	baq8	189
拔苗頭	拔苗头	baq miau deu	baq miau deu	189
擔	担	tae1	tae1	189
擔飯	担饭	tae vae	tae vae	189
擔鉤	担钩	tae keu	tae keu	190
擔雙身	担双身	tae saon shin	tae saon shin	190
擔心擔事	担心担事	tae shin tae zy	tae shin tae zy	190
押頭	押头	aq deu	aq deu	190
抽	抽	chieu1	chieu1	190
抽斗	抽斗	chieu teu	chieu teu	190
抽油	抽油	chieu yeu	chieu yeu	190
劼劼矻矻	劼劼矻矻	chiq chiq khaq khaq	chiq chiq khaq khaq	190
拐	拐	kua3	kua3	190
拐	拐	gua4	gua6	190
拐腳	拐脚	kua cian	kua cian	190
拐腳	拐脚	kua ciaq	kua ciq	190
拐拐動	拐拐动	kua kua don	kua kua don	191
拐拐動	拐拐动	gua gua don	gua gua don	191
拖	拖	tha1	tha1	191
拖紛	拖纷	thou fen	thou fen	191
拖紛	拖纷	thou fon	thou fon	191
拖𡊄	拖𡊄	thou fen	thou fen	191
拖𡊄	拖𡊄	thou fon	thou fon	191
拖有病	拖有病	thou yeu bin	thou yeu bin	191
拖雞豹	拖鸡豹	thou ci pau	thou ci pau	191
拖油瓶	拖油瓶	thou yeu bin	thou yeu bin	191
拖鼻頭	拖鼻头	thou baq deu	thou baq deu	191
頂好	顶好	tin hau	tin hau	192
頂真	顶真	tin tsyun	tin tsyun	192
頂倒	顶倒	tin tau	tin tau	192
頂頭摸腳	顶头摸脚	tin deu moq ciaq	tin deu moq ciq	192
拆蝕	拆蚀	tshaq zhiq	tshaq zhiq	192
拆搭	拆搭	tshaq taq	tshaq taq	192
拆骨頭	拆骨头	tshaq kuaq deu	tshaq kuaq deu	192
拆爛屙	拆烂屙	tshaq lae ou	tshaq lae ou	192
拆壁腳	拆壁脚	tshaq piq ciaq	tshaq piq ciq	193
拆壁腳	拆壁脚	tshoq piq ciaq	tshoq piq ciq	193
擁	拥	ion3	ion3	193
抵針	抵针	ti cin	ti cin	193
抵配	抵配	ti phei	ti phei	193
㧕	㧕	lieu6	lieu6	193
勢口	势口	syu kheu	syu kheu	193
抱裙	抱裙	bau jiun	bau jiun	193
擽	㧰	loq8	loq8	193
拄	拄	tsyu5	tsyu5	193
拉打	拉打	lhan tan	lhan tan	193
拉柴鬍子	拉柴胡子	la za wu tsy	la za wu tsy	194
拕	拕	dou2	dou2	194
招怪	招怪	ciau kua	ciau kua	194
招商	招商	ciau saon	ciau saon	194
招文袋	招文袋	ciau ven de	ciau ven de	194
招頭紙	招头纸	ciau deu tsy	ciau deu tsy	194
撥	拨	paq7	paq7	194
撥	拨	poq7	poq7	194
撥	拨	piq7	piq7	194
撥撥動動	拨拨动动	paq paq don don	paq paq don don	195
抬	抬	de2	de2	195
抬城隍	抬城隍	de jin waon	de jin waon	195
拗	拗	au3	au3	195
拗手勁	拗手劲	au shieu jin	au shieu jin	195
拗輕重	拗轻重	au chin dzon	au chin dzon	195
拗腰骨	拗腰骨	au iau kuaq	au iau kuaq	196
拗裏拗絞	拗里拗绞	au li au gau	au li au gau	196
其	其	ji6	ji6	196
其儂	其侬	ji nou	ji nou	196
其拉	其拉	ji laq	ji laq	196
其拉	其拉	jiq laq	jiq laq	196
耶耶乎	耶耶乎	ia ia wu	ia ia wu	196
苦	苦	khu3	khu3	196
苦口	苦口	khu kheu	khu kheu	196
苦相出	苦相出	khu shian tshyuq	khu shian tshyuq	196
苦得得	苦得得	khu taq taq	khu taq taq	196
苦頓頓	苦顿顿	khu ten ten	khu ten ten	196
苦意頭	苦意头	khu i deu	khu i deu	196
苦得頭	苦得头	khu taq deu	khu taq deu	196
苗	苗	miau2	miau2	197
苗子	苗子	miau tsy	miau tsy	197
苗紅	苗红	miau kon	miau kon	197
苗繩	苗绳	miau zhin	miau zhin	197
範	范	vae4	vae6	197
直過	直过	jiq kou	jiq kou	197
直落	直落	jiq loq	jiq loq	197
直白白	直白白	jiq baq baq	jiq baq baq	197
直利利	直利利	jiq li li	jiq li li	197
直頭牛	直头牛	jiq deu ngeu	jiq deu ngeu	197
直直過	直直过	jiq jiq kou	jiq jiq kou	197
直儱侗	直𫢒侗	jiq lon thon	jiq lon thon	197
直白儱侗	直白𫢒侗	jiq baq lon thon	jiq baq lon thon	197
直肚白腸	直肚白肠	jiq du baq jian	jiq du baq jian	198
直通大道	直通大道	jiq thon da dau	jiq thon da dau	198
苔條	苔条	de diau	de diau	198
苔生片	苔生片	de sen phi	de sen phi	198
茅刀	茅刀	mau tau	mau tau	198
茅針	茅针	mau cin	mau cin	198
枉爲	枉为	uaon wei	uaon wei	198
櫃頭獅子	柜头狮子	jiu deu sy tsy	jiu deu sy tsy	198
櫃檯活猻	柜台活狲	jiu de waq sen	jiu de waq sen	198
板刷	板刷	pae syuq	pae soq	198
板板六十四	板板六十四	pae pae loq zyuq sy	pae pae loq zoq sy	198
松毛	松毛	son mau	son mau	199
松黃	松黄	son waon	son waon	199
松松黃	松松黄	son son waon	son son waon	199
松得斯黃	松得斯黄	son taq sy waon	son taq sy waon	199
松毛絲	松毛丝	son mau sy	son mau sy	199
鬆勃勃	松勃勃	son baq baq	son baq baq	199
鬆䨣䨣	松䨣䨣	son phoq phoq	son phoq phoq	199
槍笆	枪笆	chian po	chian po	199
槍斃鬼	枪毙鬼	chian bi ciu	chian bi ciu	199
楓樹葉	枫树叶	fon zyu yiq	fon zyu yiq	199
杭	杭	ghaon2	ghaon2	199
杭州籃	杭州篮	ghaon cieu lae	ghaon cieu lae	199
畫鏡線	画镜线	wo cin shi	wo cin shi	199
事幹	事干	zy ki	zy ki	200
事體	事体	zy thi	zy thi	200
刺柴	刺柴	tshy za	tshy za	200
刺菱	刺菱	tshy len	tshy len	200
刺菱	刺菱	tshy lin	tshy lin	200
刺窠	刺窠	tshy khou	tshy khou	200
刺毛伶仃	刺毛伶仃	tshy mau lin tin	tshy mau lin tin	200
刺觸伶仃	刺触伶仃	tshy tshoq lin tin	tshy tshoq lin tin	200
雨毛絲	雨毛丝	yu mau sy	yu mau sy	200
雨毛滯滯	雨毛滞滞	yu mau ji ji	yu mau ji ji	200
雨傘月桌	雨伞月桌	yu sae yuq tsoq	yu sae yuq tsoq	200
賣相	卖相	ma shian	ma shian	201
賣面子	卖面子	ma mi tsy	ma mi tsy	201
賣洋盤	卖洋盘	ma yan bun	ma yan boe	201
賣洋盤	卖洋盘	ma yan bou	ma yan bou	201
賣野人頭	卖野人头	ma ya gnin deu	ma ya gnin deu	201
鬱	郁	iuq7	iuq7	201
鬱炦炦	郁炦炦	iuq baq baq	iuq baq baq	201
矻矻	矻矻	khaq khaq	khaq khaq	201
奔腳頭	奔脚头	pen ciaq deu	pen ciq deu	201
奇出古樣	奇出古样	ji tshyuq ku yan	ji tshyuq ku yan	201
態	态	the3	the3	202
劽劽	劽劽	laq laq	laq laq	202
辣辣	辣辣	laq laq	laq laq	202
轉	转	tsoe3	tsoe3	202
轉色	转色	tsoe saq	tsoe saq	202
轉側	转侧	tsoe tsaq	tsoe tsaq	202
轉漿	转浆	tsoe cian	tsoe cian	202
斬	斩	tsae1	tsae1	202
斬刀	斩刀	tsae tau	tsae tau	202
斬齊	斩齐	tsae zhi	tsae zhi	202
輪盤	轮盘	len bun	len boe	202
